code,name,market,sector,status,priceStatus,financialStatus,metricSource,action,lastClose,priceJudgement,financialError
7590,タカショー,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,401.0,,
7593,ＶＴホールディングス,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,449.0,,
7595,アルゴグラフィックス,プライム（内国株式）,情報・通信業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1188.0,,
7596,魚力,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2227.0,,
7599,ＩＤＯＭ,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1365.0,,
7600,日本エム・ディ・エム,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,916.0,,
7601,ポプラ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,162.0,,
7602,レダックス,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,142.0,,
7603,ジーイエット,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,48.0,,
7604,梅の花グループ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,863.0,,
7606,ユナイテッドアローズ,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2443.0,,
7607,進和,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,3220.0,,
7608,エスケイジャパン,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,748.0,,
7609,ダイトロン,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3735.0,,
7610,テイツー,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,140.0,,
7611,ハイデイ日高,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,2533.0,,
7613,シークス,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1352.0,,
7614,オーエムツーネットワーク,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,1531.0,,
7615,京都きもの友禅ホールディングス,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,92.0,,
7616,コロワイド,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1801.5,,
7619,田中商事,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,878.0,,
7621,うかい,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3285.0,,
7624,ＮａＩＴＯ,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/05,ランキング判定に利用,138.0,,
7625,グローバルダイニング,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,452.0,,
7628,オーハシテクニカ,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1100.0,,
7630,壱番屋,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/05,ランキング判定に利用,870.0,,
7634,星医療酸器,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,4785.0,,
7636,ハンズマン,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,809.0,,
7637,白銅,プライム（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3400.0,,
7638,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1323.0,,
7640,トップカルチャー,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,167.0,,
7643,ダイイチ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1688.0,,
7646,ＰＬＡＮＴ,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1735.0,,
7649,スギホールディングス,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,3092.0,,
7670,オーウエル,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1002.0,,
7673,ダイコー通産,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1570.0,,
7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,グロース（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,2737.0,,
7677,ヤシマキザイ,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2510.0,,
7678,あさくま,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,6180.0,,
7679,薬王堂ホールディングス,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1623.0,,
7681,レオクラン,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,906.0,,
7682,浜木綿,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,4030.0,,
7683,ダブルエー,プライム（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,1422.0,,
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3380.0,,
7686,ひとまいる,スタンダード（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,414.0,,
7687,ミクリード,グロース（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,416.0,,
7689,コパ・コーポレーション,グロース（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,295.0,,
7692,アースインフィニティ,スタンダード（内国株式）,電気・ガス業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,75.0,,
7694,いつも,グロース（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,413.0,,
7695,交換できるくん,グロース（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,689.0,,
7698,アイスコ,スタンダード（内国株式）,卸売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2490.0,,
7701,島津製作所,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,4048.0,,
7702,ＪＭＳ,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,445.0,,
7707,プレシジョン・システム・サイエンス,グロース（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,187.0,,
