code,name,market,sector
2375,ギグワークス,スタンダード（内国株式）,サービス業
2376,サイネックス,スタンダード（内国株式）,サービス業
2378,ルネサンス,プライム（内国株式）,サービス業
2379,ディップ,プライム（内国株式）,サービス業
2384,ＳＢＳホールディングス,プライム（内国株式）,陸運業
2385,総医研ホールディングス,グロース（内国株式）,サービス業
2388,ウェッジホールディングス,グロース（内国株式）,その他金融業
2391,プラネット,スタンダード（内国株式）,サービス業
2393,日本ケアサプライ,スタンダード（内国株式）,サービス業
2395,新日本科学,プライム（内国株式）,サービス業
2404,鉄人化ホールディングス,スタンダード（内国株式）,サービス業
2408,ＫＧ情報,スタンダード（内国株式）,サービス業
2410,キャリアデザインセンター,プライム（内国株式）,サービス業
2411,ゲンダイエージェンシー,スタンダード（内国株式）,情報・通信業
2413,エムスリー,プライム（内国株式）,サービス業
2415,ヒューマンホールディングス,スタンダード（内国株式）,サービス業
2418,ツカダ・グローバルホールディング,スタンダード（内国株式）,サービス業
241A,ＲＯＸＸ,グロース（内国株式）,情報・通信業
2424,ブラス,スタンダード（内国株式）,サービス業
2425,ケアサービス,スタンダード（内国株式）,サービス業
2428,ウェルネット,スタンダード（内国株式）,サービス業
2429,ワールドホールディングス,プライム（内国株式）,サービス業
2432,ディー・エヌ・エー,プライム（内国株式）,情報・通信業
2433,博報堂ＤＹホールディングス,プライム（内国株式）,サービス業
2435,シダー,スタンダード（内国株式）,サービス業
2436,共同ピーアール,スタンダード（内国株式）,サービス業
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,サービス業
2438,アスカネット,グロース（内国株式）,サービス業
2440,ぐるなび,スタンダード（内国株式）,サービス業
2445,タカミヤ,スタンダード（内国株式）,サービス業
2449,プラップジャパン,スタンダード（内国株式）,サービス業
244A,グロースエクスパートナーズ,グロース（内国株式）,情報・通信業
2454,オールアバウト,スタンダード（内国株式）,サービス業
2459,アウンコンサルティング,スタンダード（内国株式）,サービス業
245A,ＩＮＧＳ,グロース（内国株式）,小売業
2461,ファンコミュニケーションズ,プライム（内国株式）,サービス業
2462,ライク,プライム（内国株式）,サービス業
2464,Ａｏｂａ‐ＢＢＴ,スタンダード（内国株式）,サービス業
2469,ヒビノ,スタンダード（内国株式）,サービス業
246A,アスア,グロース（内国株式）,サービス業
2471,エスプール,プライム（内国株式）,サービス業
2475,ＷＤＢホールディングス,プライム（内国株式）,サービス業
2477,手間いらず,スタンダード（内国株式）,情報・通信業
2479,ジェイテック,スタンダード（内国株式）,サービス業
247A,Ａｉロボティクス,グロース（内国株式）,化学
2480,システム・ロケーション,スタンダード（内国株式）,情報・通信業
2481,タウンニュース社,スタンダード（内国株式）,サービス業
2483,翻訳センター,スタンダード（内国株式）,サービス業
2484,出前館,スタンダード（内国株式）,情報・通信業
2485,ティア,スタンダード（内国株式）,サービス業
2488,ＪＴＰ,スタンダード（内国株式）,サービス業
2489,アドウェイズ,スタンダード（内国株式）,サービス業
248A,キッズスター,グロース（内国株式）,情報・通信業
2491,バリューコマース,プライム（内国株式）,サービス業
2492,インフォマート,プライム（内国株式）,サービス業
2493,イーサポートリンク,スタンダード（内国株式）,サービス業
2497,ユナイテッド,グロース（内国株式）,サービス業
2498,オリエンタルコンサルタンツホールディングス,スタンダード（内国株式）,サービス業
2499,日本和装ホールディングス,スタンダード（内国株式）,サービス業
2501,サッポロホールディングス,プライム（内国株式）,食料品
2502,アサヒグループホールディングス,プライム（内国株式）,食料品
2503,キリンホールディングス,プライム（内国株式）,食料品
250A,シマダヤ,スタンダード（内国株式）,食料品
2531,宝ホールディングス,プライム（内国株式）,食料品
2533,オエノンホールディングス,プライム（内国株式）,食料品
253A,ＥＴＳグループ,スタンダード（内国株式）,建設業
2540,養命酒製造,プライム（内国株式）,食料品
254A,ＡＩフュージョンキャピタルグループ,スタンダード（内国株式）,証券、商品先物取引業
255A,ジーエルテクノホールディングス,スタンダード（内国株式）,精密機器
256A,飛島ホールディングス,プライム（内国株式）,建設業
2573,北海道コカ・コーラボトリング,スタンダード（内国株式）,食料品
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,食料品
2585,ライフドリンク　カンパニー,プライム（内国株式）,食料品
2586,フルッタフルッタ,グロース（内国株式）,食料品
2587,サントリービバレッジ＆フード,プライム（内国株式）,食料品
2588,プレミアムウォーターホールディングス,スタンダード（内国株式）,食料品
2590,ダイドーグループホールディングス,プライム（内国株式）,食料品
2593,伊藤園,プライム（内国株式）,食料品
2594,キーコーヒー,プライム（内国株式）,食料品
2597,ユニカフェ,スタンダード（内国株式）,食料品
2602,日清オイリオグループ,プライム（内国株式）,食料品
2607,不二製油,プライム（内国株式）,食料品
2612,かどや製油,スタンダード（内国株式）,食料品
2613,Ｊ－オイルミルズ,プライム（内国株式）,食料品
261A,日水コン,スタンダード（内国株式）,サービス業
262A,インターメスティック,プライム（内国株式）,小売業
264A,Ｓｃｈｏｏ,グロース（内国株式）,サービス業
2652,まんだらけ,スタンダード（内国株式）,小売業
2653,イオン九州,スタンダード（内国株式）,小売業
2654,アスモ,スタンダード（内国株式）,小売業
2656,ベクターホールディングス,スタンダード（内国株式）,小売業
2659,サンエー,プライム（内国株式）,小売業
265A,Ｈｍｃｏｍｍ,グロース（内国株式）,情報・通信業
2664,カワチ薬品,プライム（内国株式）,小売業
2666,オートウェーブ,スタンダード（内国株式）,小売業
2667,イメージ　ワン,スタンダード（内国株式）,卸売業
2668,タビオ,スタンダード（内国株式）,卸売業
2669,カネ美食品,スタンダード（内国株式）,小売業
2670,エービーシー・マート,プライム（内国株式）,小売業
2673,夢みつけ隊,スタンダード（内国株式）,小売業
2674,ハードオフコーポレーション,プライム（内国株式）,小売業
2676,高千穂交易,プライム（内国株式）,卸売業
2678,アスクル,プライム（内国株式）,小売業
2681,ゲオホールディングス,プライム（内国株式）,小売業
2683,魚喜,スタンダード（内国株式）,小売業
2685,アンドエスティＨＤ,プライム（内国株式）,小売業
2686,ジーフット,スタンダード（内国株式）,小売業
2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,サービス業
2689,オルバヘルスケアホールディングス,スタンダード（内国株式）,卸売業
268A,リガク・ホールディングス,プライム（内国株式）,精密機器
2693,ＹＫＴ,スタンダード（内国株式）,卸売業
2694,焼肉坂井ホールディングス,スタンダード（内国株式）,小売業
2695,くら寿司,プライム（内国株式）,小売業
2698,キャンドゥ,スタンダード（内国株式）,小売業
269A,Ｓａｐｅｅｔ,グロース（内国株式）,情報・通信業
2700,木徳神糧,スタンダード（内国株式）,卸売業
2702,日本マクドナルドホールディングス,スタンダード（内国株式）,小売業
2705,大戸屋ホールディングス,スタンダード（内国株式）,小売業
2708,久世,スタンダード（内国株式）,卸売業
2721,ジェイホールディングス,スタンダード（内国株式）,卸売業
2722,ＩＫホールディングス,スタンダード（内国株式）,小売業
2726,パルグループホールディングス,プライム（内国株式）,小売業
2730,エディオン,プライム（内国株式）,小売業
2733,あらた,プライム（内国株式）,卸売業
2734,サーラコーポレーション,プライム（内国株式）,小売業
2735,ワッツ,スタンダード（内国株式）,小売業
2736,フェスタリアホールディングス,スタンダード（内国株式）,小売業
2737,トーメンデバイス,プライム（内国株式）,卸売業
2742,ハローズ,プライム（内国株式）,小売業
2747,北雄ラッキー,スタンダード（内国株式）,小売業
2749,ＪＰホールディングス,プライム（内国株式）,サービス業
274A,ガーデン,スタンダード（内国株式）,小売業
2750,石光商事,スタンダード（内国株式）,卸売業
2751,テンポスホールディングス,スタンダード（内国株式）,卸売業
2752,フジオフードグループ本社,プライム（内国株式）,小売業
2753,あみやき亭,プライム（内国株式）,小売業
2760,東京エレクトロン　デバイス,プライム（内国株式）,卸売業
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,小売業
2763,エフティグループ,スタンダード（内国株式）,卸売業
2764,ひらまつ,スタンダード（内国株式）,小売業
2767,円谷フィールズホールディングス,プライム（内国株式）,卸売業
2768,双日,プライム（内国株式）,卸売業
2769,ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,小売業
276A,ククレブ・アドバイザーズ,グロース（内国株式）,不動産業
2776,新都ホールディングス,スタンダード（内国株式）,卸売業
2778,パレモ・ホールディングス,スタンダード（内国株式）,小売業
277A,グロービング,プライム（内国株式）,サービス業
2780,コメ兵ホールディングス,スタンダード（内国株式）,小売業
2782,セリア,スタンダード（内国株式）,小売業
2784,アルフレッサ　ホールディングス,プライム（内国株式）,卸売業
2788,アップルインターナショナル,スタンダード（内国株式）,卸売業
2789,カルラ,スタンダード（内国株式）,小売業
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,精密機器
2790,ナフコ,スタンダード（内国株式）,小売業
2791,大黒天物産,プライム（内国株式）,小売業
2792,ハニーズホールディングス,プライム（内国株式）,小売業
2795,日本プリメックス,スタンダード（内国株式）,卸売業
2796,ファーマライズホールディングス,スタンダード（内国株式）,小売業
2798,ワイズテーブルコーポレーション,スタンダード（内国株式）,小売業
2801,キッコーマン,プライム（内国株式）,食料品
2802,味の素,プライム（内国株式）,食料品
2804,ブルドックソース,プライム（内国株式）,食料品
2805,ヱスビー食品,スタンダード（内国株式）,食料品
2806,ユタカフーズ,スタンダード（内国株式）,食料品
2809,キユーピー,プライム（内国株式）,食料品
280A,ＴＭＨ,グロース（内国株式）,卸売業
2810,ハウス食品グループ本社,プライム（内国株式）,食料品
2811,カゴメ,プライム（内国株式）,食料品
2813,和弘食品,スタンダード（内国株式）,食料品
2814,佐藤食品工業,スタンダード（内国株式）,食料品
2815,アリアケジャパン,プライム（内国株式）,食料品
2816,ダイショー,スタンダード（内国株式）,食料品
2818,ピエトロ,スタンダード（内国株式）,食料品
2819,エバラ食品工業,スタンダード（内国株式）,食料品
281A,インフォメティス,グロース（内国株式）,情報・通信業
2820,やまみ,スタンダード（内国株式）,食料品
2831,はごろもフーズ,スタンダード（内国株式）,食料品
285A,キオクシアホールディングス,プライム（内国株式）,電気機器
286A,ユカリア,グロース（内国株式）,サービス業
2871,ニチレイ,プライム（内国株式）,食料品
2872,セイヒョー,スタンダード（内国株式）,食料品
2874,横浜冷凍,プライム（内国株式）,卸売業
2875,東洋水産,プライム（内国株式）,食料品
2876,デルソーレ,スタンダード（内国株式）,食料品
2877,日東ベスト,スタンダード（内国株式）,食料品
287A,黒田グループ,スタンダード（内国株式）,卸売業
2882,イートアンドホールディングス,プライム（内国株式）,食料品
2883,大冷,スタンダード（内国株式）,食料品
2884,ヨシムラ・フード・ホールディングス,プライム（内国株式）,食料品
