code,name,market,sector,price,bps,eps,cash,securities,investmentSecurities,interestDebt,netAssets,rentalBook,rentalMarket,shares,treasuryShares,period,sourceUrl,status,error,fetchedAt
4754,トスネット,スタンダード（内国株式）,サービス業,1457,1804.11,115.24,6004.08,0,0,801.07,8476.47,0,0,4698422,0,2026/03,https://irbank.net/4754/results,取得成功,,2026-06-27T01:00:25.200Z
4755,楽天グループ,プライム（内国株式）,サービス業,690.2,,,,0,0,,,0,0,,0,,https://irbank.net/4755/results,取得失敗,BPS、純資産、株数推定が不足,2026-06-27T01:43:44.388Z
475A,ギミック,スタンダード（内国株式）,サービス業,630,462.56,44.32,2066.18,0,0,104.35,2421.7,0,0,5235429,0,2026/03,https://irbank.net/475A/results,取得成功,,2026-06-27T01:00:25.235Z
4760,アルファ,スタンダード（内国株式）,サービス業,1557,1840.64,161.68,508.33,0,0,1544.87,1523.09,0,0,827478,0,2026/02,https://irbank.net/4760/results,取得成功,,2026-06-27T01:00:25.222Z
4761,さくらケーシーエス,スタンダード（内国株式）,情報・通信業,1380,1881.03,109.83,2293,0,0,0,21067,0,0,11199715,0,2026/03,https://irbank.net/4761/results,取得成功,,2026-06-27T01:00:25.305Z
4762,エックスネット,スタンダード（内国株式）,情報・通信業,1663,779.57,107.66,1188.93,0,0,1200,3258.52,0,0,4179894,0,2026/03,https://irbank.net/4762/results,取得成功,,2026-06-27T01:00:25.594Z
4763,クリーク・アンド・リバー社,プライム（内国株式）,サービス業,1277,902.86,158.2,12801.02,0,0,11545.44,19395.9,0,0,21482733,0,2026/02,https://irbank.net/4763/results,取得成功,,2026-06-27T01:00:25.344Z
4765,ＳＢＩグローバルアセットマネジメント,プライム（内国株式）,サービス業,561,235.91,28.3,21848.98,0,0,0,41925.92,0,0,177719978,0,2026/03,https://irbank.net/4765/results,取得成功,,2026-06-27T01:00:25.465Z
4766,ピーエイ,スタンダード（内国株式）,サービス業,182,41.84,9.3,803.66,0,0,580.47,520.82,0,0,12447897,0,2026/03,https://irbank.net/4766/results,取得成功,,2026-06-27T01:00:25.444Z
4767,テー・オー・ダブリュー,スタンダード（内国株式）,サービス業,325,250.02,36.27,8128,0,0,613.18,9892,0,0,39564835,0,2026/03,https://irbank.net/4767/results,取得成功,,2026-06-27T01:00:25.452Z
4768,大塚商会,プライム（内国株式）,情報・通信業,2763.5,1034.64,161.21,253620,0,0,6000,399588,0,0,386209696,0,2026/03,https://irbank.net/4768/results,取得成功,,2026-06-27T01:00:25.549Z
4769,ＩＣ,スタンダード（内国株式）,情報・通信業,1095,867.75,50.98,3743.3,0,0,0,6428.47,0,0,7408205,0,2026/03,https://irbank.net/4769/results,取得成功,,2026-06-27T01:00:25.551Z
476A,辻・本郷ＩＴコンサルティング,スタンダード（内国株式）,情報・通信業,1445,822.67,148.22,940.33,0,0,195.08,1009.71,0,0,1227357,0,2026/03,https://irbank.net/476A/results,取得成功,,2026-06-27T01:00:25.811Z
4771,エフアンドエム,スタンダード（内国株式）,サービス業,2404,1042.65,194.36,6740.85,0,0,0,15423.44,0,0,14792538,0,2026/03,https://irbank.net/4771/results,取得成功,,2026-06-27T01:00:25.597Z
4772,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ,グロース（内国株式）,情報・通信業,68,61.34,2.18,3704.3,0,0,0,7922.06,0,0,129149984,0,2026/03,https://irbank.net/4772/results,取得成功,,2026-06-27T01:00:28.083Z
4776,サイボウズ,プライム（内国株式）,情報・通信業,2136,379.14,160.99,11694,0,0,35,17815,0,0,46987920,0,2026/03,https://irbank.net/4776/results,取得成功,,2026-06-27T01:00:25.684Z
4777,ガーラ,スタンダード（内国株式）,情報・通信業,200,14.44,-18.99,448.21,0,0,1457.78,1019.8,0,0,70623269,0,2026/03,https://irbank.net/4777/results,取得成功,,2026-06-27T01:00:25.676Z
