priority,code,name,source,market,sector,action,signal,strategy,score,winRate,averageReturn,maxDrawdown,periodReturn,reason,nextCheck,caution
177,8928,穴吹興産,自動買い候補予備軍,スタンダード（内国株式）,不動産業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,119.07,100,15.8,-0.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
176.4,7822,永大産業,自動買い候補予備軍,スタンダード（内国株式）,その他製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,128.45,100,6.3,-2.1,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
175.5,4242,タカギセイコー,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,今買い候補,財務+価格自動判定,122.35,100,10.8,-0.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
175.4,6342,太平製作所,自動買い候補予備軍,スタンダード（内国株式）,機械,最優先で通常候補前確認,今買い候補,財務+価格自動判定,131.66,50,10.8,-1.2,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
175.3,7812,クレステック,自動買い候補予備軍,スタンダード（内国株式）,その他製品,最優先で通常候補前確認,買い場近い,財務+価格自動判定,123.46,100,11.8,-3.5,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
175.3,9506,東北電力,自動買い候補予備軍,プライム（内国株式）,電気・ガス業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,123.33,100,9.2,-0.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
175,7946,光陽社,自動買い候補予備軍,スタンダード（内国株式）,その他製品,最優先で通常候補前確認,買い場近い,財務+価格自動判定,123.8,100,10.9,-3.3,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
174.4,7877,永大化工,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,今買い候補,財務+価格自動判定,137.42000000000002,50,6.1,-4.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
174.2,8563,大東銀行,自動買い候補予備軍,スタンダード（内国株式）,銀行業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,136.11,66.7,6.1,-6.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
173.5,6743,大同信号,自動買い候補予備軍,スタンダード（内国株式）,電気機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,122.47,100,13.9,-6.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
173.2,8383,鳥取銀行,自動買い候補予備軍,スタンダード（内国株式）,銀行業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,132.13,66.7,7.3,-4.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
173.2,4365,松本油脂製薬,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,買い場近い,財務+価格自動判定,127.4,100,2,0,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
173,6497,ハマイ,自動買い候補予備軍,スタンダード（内国株式）,機械,最優先で通常候補前確認,今買い候補,財務+価格自動判定,123.01,100,10.6,-4.5,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
172.7,8260,井筒屋,自動買い候補予備軍,スタンダード（内国株式）,小売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,119.69,100,11.3,-1.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
172.4,4392,ＦＩＧ,2倍監視,プライム（内国株式）,情報・通信業,優先して財務確認,上昇中押し目,安値反転,112.5,100,27.3,-5.9,284.5,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
172,8783,ａｂｃ,自動買い候補予備軍,スタンダード（内国株式）,その他金融業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,127.07,100,1,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
171.7,3320,クロスプラス,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,130.57999999999998,100,1.3,-5,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
171.2,3435,サンコーテクノ,自動買い候補予備軍,スタンダード（内国株式）,金属製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,119.71,100,9,-0.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
170.8,7162,アストマックス,自動買い候補予備軍,スタンダード（内国株式）,電気・ガス業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,131.19,50,10.4,-6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
170.8,1867,植木組,自動買い候補予備軍,スタンダード（内国株式）,建設業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,120.24,100,10,-3,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
170.3,7619,田中商事,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,121.64,100,5.2,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
169.6,1850,南海辰村建設,自動買い候補予備軍,スタンダード（内国株式）,建設業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,122.39,100,3.7,-0.2,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
169.5,7299,フジオーゼックス,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,125.48,100,5.4,-6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
169.5,7955,クリナップ,自動買い候補予備軍,プライム（内国株式）,その他製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,122.49,100,8.8,-6.1,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
169,6484,ＫＶＫ,自動買い候補予備軍,スタンダード（内国株式）,機械,最優先で通常候補前確認,今買い候補,財務+価格自動判定,118.24,100,7.7,-0.2,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
168.8,8046,丸藤シートパイル,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,127.65,66.7,6.6,-3.5,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
168.6,9761,東海リース,自動買い候補予備軍,スタンダード（内国株式）,サービス業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,117.17,100,8.2,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
168.3,5940,不二サッシ,自動買い候補予備軍,スタンダード（内国株式）,金属製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,124.54,100,0.3,-0.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
167.5,7264,ムロコーポレーション,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,135.72,50,2.3,-6.6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
167.4,5975,東プレ,自動買い候補予備軍,プライム（内国株式）,金属製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,118.96,100,9.3,-4.9,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
167.3,9059,カンダホールディングス,自動買い候補予備軍,スタンダード（内国株式）,陸運業,最優先で通常候補前確認,買い場近い,財務+価格自動判定,120.31,100,3.3,0,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
167.1,7291,日本プラスト,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,124.23,100,2.8,-4.6,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
167.1,5851,リョービ,自動買い候補予備軍,プライム（内国株式）,非鉄金属,最優先で通常候補前確認,今買い候補,財務+価格自動判定,118.94,100,7.1,-2.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
167,4120,スガイ化学工業,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,今買い候補,財務+価格自動判定,117.87,100,11.7,-6.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
166.9,7417,南陽,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,買い場近い,財務+価格自動判定,123.31,100,1.2,-1.9,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
165.9,5997,協立エアテック,自動買い候補予備軍,スタンダード（内国株式）,金属製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,124.52,75,4.6,-2.8,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
165.9,7247,ミクニ,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,120.08,100,2,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
165.8,8747,豊トラスティ証券,自動買い候補予備軍,スタンダード（内国株式）,証券、商品先物取引業,最優先で通常候補前確認,買い場近い,財務+価格自動判定,123.26,75,9,-6.3,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
165.7,6993,大黒屋ホールディングス,2倍監視,スタンダード（内国株式）,小売業,監視しながら財務確認,待ち,高値更新,112.2,100,30.6,-5,291.3,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
165.2,5956,トーソー,自動買い候補予備軍,スタンダード（内国株式）,金属製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,124.82,50,7.7,-1.9,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
