rank,code,name,market,sector,status,normalCandidate,autoBuyScore,price,buyLine,targetPrice,sellGuidePrice,buyRatio,upside,pbr,per,netCashRatio,winRate,averageReturn,maxDrawdown,signal,judgement,metricSource,action,comment,caution
0,7417,南陽,スタンダード（内国株式）,卸売業,自動買い場近い,通常候補前,99.31,1470,1436.74,4409.52,1795.93,1.02,199.97,0.65,8,52.85,100,1.2,-1.9,買い場近い,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,買い場近い。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,8747,豊トラスティ証券,スタンダード（内国株式）,証券、商品先物取引業,自動買い場近い,通常候補前,99.26,2078,2045.47,18698.64,2556.84,1.02,799.84,0.65,2.67,90.1,75,9,-6.3,買い場近い,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,買い場近い。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,6497,ハマイ,スタンダード（内国株式）,機械,自動今買い候補,通常候補前,99.01,1334,1462.3,3969.02,1827.88,0.91,197.53,0.51,9.12,48.88,100,10.6,-4.5,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,9896,ＪＫホールディングス,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,98.73,1423,1565.04,3843.6,1956.3,0.91,170.11,0.58,8.89,44.28,100,12.7,0,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,6390,加藤製作所,プライム（内国株式）,機械,自動今買い候補,通常候補前,98.54,1225,2429.77,9568.08,3037.21,0.5,681.07,0.32,3.07,-212.48,50,7.6,-2,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7955,クリナップ,プライム（内国株式）,その他製品,自動今買い候補,通常候補前,98.49,877,1006.7,2622.39,1258.38,0.87,199.02,0.51,8.71,38.61,100,8.8,-6.1,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,6743,大同信号,スタンダード（内国株式）,電気機器,自動今買い候補,通常候補前,98.47,796,1121.24,2871.84,1401.54,0.71,260.78,0.45,6.65,-13.54,100,13.9,-6.8,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,1850,南海辰村建設,スタンダード（内国株式）,建設業,自動今買い候補,通常候補前,98.39,417,437.4,1365.36,546.75,0.95,227.42,0.61,7.33,49.23,100,3.7,-0.2,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,4242,タカギセイコー,スタンダード（内国株式）,化学,自動今買い候補,通常候補前,98.35,1722,2215.1,6907.71,2768.88,0.78,301.14,0.38,7.77,-46.94,100,10.8,-0.7,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
0,7841,遠藤製作所,スタンダード（内国株式）,その他製品,自動今買い候補,通常候補前,98.26,1078,1138,3980.3,1422.5,0.95,269.23,0.41,9.47,85.54,50,1.9,-6.6,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です,自動取得財務で判定。原資料チェック推奨
