code,month,close,source
5016,2025-08,1940.6528,yahoo
5016,2025-09,2040.0348,yahoo
5016,2025-10,1657.6523,yahoo
5016,2025-11,1946.6738,yahoo
5016,2025-12,2519.2542,yahoo
5016,2026-01,4130.7227,yahoo
5016,2026-02,3289.4817,yahoo
5016,2026-03,4790.0,yahoo
5016,2026-04,3929.0,yahoo
5016,2026-05,4553.0,yahoo
5016,2026-06,4553.0,yahoo
5018,2023-07,1066.9326,yahoo
5018,2023-08,1093.2384,yahoo
5018,2023-09,1133.6608,yahoo
5018,2023-10,1210.8304,yahoo
5018,2023-11,1187.8633,yahoo
5018,2023-12,1339.4468,yahoo
5018,2024-01,1267.7891,yahoo
5018,2024-02,1334.0967,yahoo
5018,2024-03,1212.5602,yahoo
5018,2024-04,1289.2217,yahoo
5018,2024-05,1249.9562,yahoo
5018,2024-06,1257.4353,yahoo
5018,2024-07,1159.2712,yahoo
5018,2024-08,1157.0549,yahoo
5018,2024-09,1154.205,yahoo
5018,2024-10,1215.9525,yahoo
5018,2024-11,1305.249,yahoo
5018,2024-12,1220.7024,yahoo
5018,2025-01,1132.3558,yahoo
5018,2025-02,1181.0726,yahoo
5018,2025-03,1136.5039,yahoo
5018,2025-04,1169.446,yahoo
5018,2025-05,1194.637,yahoo
5018,2025-06,1259.5524,yahoo
5018,2025-07,1247.9258,yahoo
5018,2025-08,1360.3809,yahoo
5018,2025-09,1344.6425,yahoo
5018,2025-10,1381.0374,yahoo
5018,2025-11,1506.9438,yahoo
5018,2025-12,1861.056,yahoo
5018,2026-01,2144.3457,yahoo
5018,2026-02,1807.0,yahoo
5018,2026-03,1717.0,yahoo
5018,2026-04,1971.0,yahoo
5018,2026-05,1810.0,yahoo
5018,2026-06,1810.0,yahoo
5019,2023-07,559.6569,yahoo
5019,2023-08,621.6803,yahoo
5019,2023-09,632.4449,yahoo
5019,2023-10,750.2768,yahoo
5019,2023-11,709.8588,yahoo
5019,2023-12,761.838,yahoo
5019,2024-01,876.8028,yahoo
5019,2024-02,965.5929,yahoo
5019,2024-03,1009.338,yahoo
5019,2024-04,1007.929,yahoo
5019,2024-05,978.3393,yahoo
5019,2024-06,943.1135,yahoo
5019,2024-07,994.7781,yahoo
5019,2024-08,965.658,yahoo
5019,2024-09,1000.9216,yahoo
5019,2024-10,955.7032,yahoo
5019,2024-11,989.9277,yahoo
5019,2024-12,996.1415,yahoo
5019,2025-01,968.8959,yahoo
5019,2025-02,1006.6575,yahoo
5019,2025-03,859.3848,yahoo
5019,2025-04,856.4698,yahoo
5019,2025-05,850.1544,yahoo
5019,2025-06,941.291,yahoo
5019,2025-07,956.0594,yahoo
5019,2025-08,987.1508,yahoo
5019,2025-09,1059.0848,yahoo
5019,2025-10,1143.5941,yahoo
5019,2025-11,1169.2928,yahoo
5019,2025-12,1291.3619,yahoo
5019,2026-01,1473.7242,yahoo
5019,2026-02,1523.639,yahoo
5019,2026-03,1348.5,yahoo
5019,2026-04,1398.5,yahoo
5019,2026-05,1223.5,yahoo
5019,2026-06,1223.5,yahoo
5020,2023-07,497.1335,yahoo
5020,2023-08,536.8096,yahoo
5020,2023-09,516.694,yahoo
5020,2023-10,541.4309,yahoo
5020,2023-11,519.1955,yahoo
5020,2023-12,554.5868,yahoo
5020,2024-01,598.7795,yahoo
5020,2024-02,678.0856,yahoo
5020,2024-03,687.5538,yahoo
5020,2024-04,762.339,yahoo
5020,2024-05,777.5781,yahoo
5020,2024-06,745.2183,yahoo
5020,2024-07,742.6784,yahoo
5020,2024-08,732.5189,yahoo
5020,2024-09,742.3193,yahoo
