hiddenScore,score,qualityRank,code,name,market,sector,status,judgement,signal,strategy,priceScore,winRate,averageReturn,maxDrawdown,periodReturn,trades,timingAction,assistAction,qualityNote,comment,nextCheck,caution,reason
123.1,123.1,123.1,6391,KAJI TECHNOLOGY CORPORATION,Standard Market(Domestic),Machinery,様子見候補,中立,待ち,安値反転,77.9,100,28.9,0,22.8,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
123.1,123.1,123.1,4242,TAKAGI SEIKO CORPORATION,Standard Market(Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,高値更新,61.6,100,10.8,-0.7,33.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
123,123,123,5142,Achilles Corporation,Prime Market (Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,高値更新,63.2,100,13.9,-4.6,4.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
122.9,122.9,122.9,1951,"EXEO Group,Inc.",Prime Market (Domestic),Construction,未発掘の監視候補,良さそう,待ち,高値更新,62.6,100,12.8,-3.3,52.9,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
122.6,122.6,122.6,6769,"THine Electronics,Inc.",Standard Market(Domestic),Electric Appliances,未発掘の財務確認候補,中立,上昇中押し目,安値反転,75.1,100,24.9,-2.3,32,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
122.5,122.5,122.5,142A,"JINJIB Co.,Ltd.",Growth Market(Domestic),Services,様子見候補,中立,待ち,高値更新,77.9,100,29.6,-1.1,17.8,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,高値更新型で勢いがある
122.4,122.4,122.4,6566,"KANAME KOGYO CO.,LTD.",Standard Market(Domestic),Services,様子見候補,中立,待ち,高値更新,77.4,100,28.7,0,11.1,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,高値更新型で勢いがある
122,122,122,5304,"SEC CARBON,LIMITED",Standard Market(Domestic),Glass and Ceramics Products,未発掘の監視候補,良さそう,待ち,高値更新,61.6,100,11.7,-2.3,20.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
121.9,121.9,121.9,168A,itamiarts inc.,Growth Market(Domestic),Other Products,未発掘の監視候補,良さそう,待ち,上昇中押し目,60.8,100,10.2,-0.5,8.6,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
121.8,121.8,121.8,6579,"logly,Inc.",Growth Market(Domestic),Services,未発掘の財務確認候補,中立,上昇中押し目,高値更新,73.6,100,22.8,0,-8.6,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
