rankSeed,code,name,market,sector,points,firstDate,lastDate,lastClose,periodReturn,bestStrategy,trades,winRate,averageReturn,maxDrawdown,latestSignal,priceScore,judgement,error
104,1826,"Sata Construction Co.,Ltd.",Standard Market(Domestic),Construction,254,2025-06-09,2026-06-23,1000,-9.6,安値反転,2,0,-2.8,-4.1,安値反転候補,5.4,見送り寄り,
1808,5590,"NETSTARS Co.,Ltd.",Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,612,-34.7,安値反転,4,25,-2.2,-9.1,待ち,5.4,見送り寄り,
1961,6038,"IID,Inc.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,910,-11.4,安値反転,2,0,-2.5,-4.7,安値反転候補,5.4,見送り寄り,
3117,8185,"CHIYODA CO.,LTD.",Prime Market (Domestic),Retail Trade,254,2025-06-09,2026-06-23,960,-20,安値反転,2,50,-4.1,-8.3,待ち,5.4,見送り寄り,
817,3529,"ATSUGI CO.,LTD.",Standard Market(Domestic),Textiles and Apparels,254,2025-06-09,2026-06-23,858,-22.8,安値反転,2,50,-3.9,-8.6,待ち,5.3,見送り寄り,
2638,7273,"IKUYO CO.,LTD.",Standard Market(Domestic),Transportation Equipment,254,2025-06-09,2026-06-23,629,28.4,安値反転,3,33.3,-2.8,-8.1,待ち,5.3,見送り寄り,
1144,4113,"TAOKA CHEMICAL COMPANY,LIMITED",Standard Market(Domestic),Chemicals,254,2025-06-09,2026-06-23,688,-44.8,安値反転,3,33.3,-0.5,-12.1,待ち,5.2,見送り寄り,
3075,8107,KIMURATAN CORPORATION,Standard Market(Domestic),Textiles and Apparels,254,2025-06-09,2026-06-23,34,-30.6,安値反転,3,33.3,-2.1,-9.4,待ち,5.2,見送り寄り,
3712,9974,"Belc CO.,LTD.",Prime Market (Domestic),Retail Trade,254,2025-06-09,2026-06-23,6260,-14.8,安値反転,3,0,-2.9,-6.6,安値反転候補,5.2,見送り寄り,
1182,4197,"ASMARQ Co.,Ltd.",Standard Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,2175,-9.3,安値反転,2,50,-3.9,-8.8,待ち,5.1,見送り寄り,
1470,4664,JAPAN RELIANCE SERVICE CORPORATION,Standard Market(Domestic),Services,254,2025-06-09,2026-06-23,760,41.3,高値更新,4,50,1.9,-23.4,待ち,5.1,見送り寄り,
2925,7856,HAGIHARA INDUSTRIES INC.,Prime Market (Domestic),Other Products,254,2025-06-09,2026-06-23,1701,15.5,安値反転,2,0,-2.2,-5.5,安値反転候補,5.1,見送り寄り,
823,3542,"Vega corporation Co.,Ltd.",Growth Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,1331,-1,高値更新,2,50,-0.3,-14.9,待ち,5,見送り寄り,
1990,6086,"Shin Maint Holdings Co.,Ltd.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,996,15.1,上昇中押し目,3,33.3,-2.5,-8.8,待ち,5,見送り寄り,
2729,7462,CAPITA Inc.,Standard Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,664,58.5,高値更新,4,50,-1.1,-15.3,高値圏,5,見送り寄り,
