priorityRank,code,name,sector,source,status,price,checkedShares,checkedTreasuryShares,checkedCash,checkedSecurities,checkedInvestmentSecurities,checkedInterestDebt,checkedNetAssets,checkedRentalBook,checkedRentalMarket,checkedBps,checkedEps,checkedPbrLow,checkedPbrAvg,checkedPbrHigh,checkedPerLow,checkedPerAvg,checkedPerHigh,confirmed,qualitativeDone,risk,catalyst,history,sourceUrl,memo,draftShares,draftCash,draftInterestDebt,draftNetAssets,draftBps,draftEps
16,5587,インバウンドプラットフォーム,情報・通信業,昇格候補,自動入力・要確認,745,3079680,0,920.87,0,0,254.93,1423.89,0,0,462.35,68.41,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,747|745|744|752|732|733|750|745,https://irbank.net/5587/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,1863,745,7450,745,41.4
17,6326,クボタ,機械,昇格候補,入力待ち,2751.5,,,,,,,,,,,,0.75,1.27,1.8,10,16,24,false,false,,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,2855|2855|2847|2838|2734|2769|2755|2752,,BPS、EPS、現金、負債、発行株数を確認,10000000,6880,2752,27520,2752,152.9
18,9322,川西倉庫,倉庫・運輸関連業,昇格候補,自動入力・要確認,2278,8884809,0,5647.44,0,0,9246.79,25556.62,0,0,2876.44,84.58,0.75,1.27,1.8,10,16,24,false,false,,安値圏から反転し始めた候補です。赤字・下方修正・信用需給が重くないか確認します,2257|2269|2257|2265|2258|2277|2294|2278,https://irbank.net/9322/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,5695,2278,22780,2278,126.6
19,5016,ＪＸ金属,非鉄金属,昇格候補,自動入力・要確認,4553,1068606904,0,66306,0,0,341844,838258,0,0,784.44,151.17,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,4366|4370|4747|5335|4733|4633|4887|4553,https://irbank.net/5016/results,材料、過熱感、下落理由を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,13390,5356,53560,5356,284.6
20,6310,井関農機,機械,昇格候補,自動入力・要確認,1770,23648820,0,12840,0,0,54995,78428,0,0,3316.36,132.58,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,1833|1824|1844|1839|1787|1772|1789|1770,https://irbank.net/6310/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,4425,1770,17700,1770,98.3
21,281A,インフォメティス,情報・通信業,昇格候補,自動入力・要確認,676,3541382,0,417.67,0,0,853.36,585.78,0,0,165.41,-66.09,0.75,1.27,1.8,10,16,24,false,false,,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,647|623|574|601|637|737|753|676,https://irbank.net/281A/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,1690,676,6760,676,37.6
22,4651,サニックスホールディングス,サービス業,昇格候補,自動入力・要確認,227,47808523,0,4572,0,0,11578,11006,0,0,230.21,20.96,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,226|224|222|225|221|221|226|227,https://irbank.net/4651/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,568,227,2270,227,12.6
23,4570,免疫生物研究所,医薬品,昇格候補,自動入力・要確認,969,9313242,0,928.25,0,0,177.09,1843.37,0,0,197.93,37.26,0.75,1.27,1.8,10,16,24,false,false,,安値圏から反転し始めた候補です。赤字・下方修正・信用需給が重くないか確認します,949|969|933|1002|942|942|989|969,https://irbank.net/4570/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,2423,969,9690,969,53.8
24,7734,理研計器,精密機器,昇格候補,自動入力・要確認,3645,45458284,0,24407.86,0,0,1836.05,85383.84,0,0,1878.29,211.19,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,3630|3715|3625|3620|3595|3615|3620|3645,https://irbank.net/7734/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,9113,3645,36450,3645,202.5
25,4256,サインド,情報・通信業,昇格候補,自動入力・要確認,913,6065940,0,2214.33,0,0,771.45,3488.34,0,0,575.07,30.99,0.75,1.27,1.8,10,16,24,false,false,,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,913|913|908|916|939|906|919|913,https://irbank.net/4256/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,2283,913,9130,913,50.7
